ORIGIN,DEST,AIR_TIME,ELAPSED_TIME
LAS,ABQ,64.34989648033127,82.93788819875776
LAS,AMA,92.97278911564626,113.08163265306122
LAS,ANC,292.77777777777777,324.72222222222223
LAS,ATL,200.86197636949515,225.46079484425348
LAS,ATW,180.6530612244898,206.0612244897959
LAS,AUS,133.03586497890296,155.1529535864979
LAS,AVL,210.34615384615384,240.42307692307693
LAS,AZA,49.44230769230769,70.84615384615384
LAS,BDL,256.3666666666667,282.8666666666667
LAS,BHM,187.77777777777777,203.49382716049382
LAS,BIL,99.56410256410257,123.38461538461539
LAS,BIS,129.67796610169492,156.35593220338984
LAS,BLI,134.95698924731184,156.8279569892473
LAS,BLV,161.2258064516129,185.19354838709677
LAS,BNA,184.72382671480145,206.8447653429603
LAS,BOI,82.33157894736843,100.97631578947369
LAS,BOS,269.82625482625485,296.08301158301157
LAS,BUF,224.02597402597402,240.83116883116884
LAS,BUR,45.3390092879257,63.18111455108359
LAS,BWI,241.53616352201257,261.9135220125786
LAS,BZN,96.46629213483146,118.56179775280899
LAS,CID,154.57142857142858,180.01785714285714
LAS,CLE,209.48773006134968,235.24233128834356
LAS,CLT,222.44014084507043,249.96830985915494
LAS,CMH,204.23283582089553,224.90746268656716
LAS,COS,82.54639175257732,104.3917525773196
LAS,CVG,194.20569620253164,217.2405063291139
LAS,DAL,133.52851711026616,151.64638783269962
LAS,DCA,240.35,266.77142857142854
LAS,DEN,83.91241147968692,109.54714871412598
LAS,DFW,130.1127475876079,158.1742001015744
LAS,DRO,59.0,89.0
LAS,DSM,143.22613065326632,164.8391959798995
LAS,DTW,201.92026335040234,227.26773957571325
LAS,ELP,76.6125,95.19375
LAS,EUG,102.86486486486487,126.45945945945945
LAS,EWR,254.49498327759198,285.2173913043478
LAS,FAR,147.48275862068965,172.36206896551724
LAS,FAT,47.119897959183675,67.25510204081633
LAS,FCA,119.86046511627907,144.5581395348837
LAS,FLL,248.24842767295598,272.0566037735849
LAS,FNT,202.07692307692307,226.76923076923077
LAS,FSD,133.10843373493975,160.78313253012047
LAS,FWA,193.32142857142858,220.17857142857142
LAS,GEG,116.36363636363636,135.013468013468
LAS,GFK,150.44,177.36
LAS,GJT,58.6,84.82857142857142
LAS,GRI,119.94117647058823,146.2549019607843
LAS,GRR,189.36986301369862,216.83561643835617
LAS,GSP,214.5,236.5
LAS,GTF,109.57142857142857,135.28571428571428
LAS,HNL,352.8171557562077,378.78555304740405
LAS,HOU,150.0782608695652,169.2463768115942
LAS,HRL,150.0,172.0
LAS,IAD,233.36454849498327,257.0
LAS,IAH,149.9375,175.91369047619048
LAS,ICT,119.20338983050847,140.38983050847457
LAS,IDA,76.51219512195122,101.0
LAS,IND,185.17131474103584,207.06374501992033
LAS,JAX,222.23076923076923,250.3846153846154
LAS,JFK,260.67514450867054,289.206936416185
LAS,KOA,344.0238095238095,367.4761904761905
LAS,LAX,43.01100340581608,70.95834424941053
LAS,LBB,95.11290322580645,114.83870967741936
LAS,LEX,195.5,222.5
LAS,LGB,43.4,62.1796875
LAS,LIH,358.43333333333334,385.7
LAS,LIT,150.8961038961039,172.4805194805195
LAS,LRD,134.4102564102564,158.23076923076923
LAS,MAF,99.11333333333333,116.28666666666666
LAS,MCI,137.73946957878314,157.17160686427457
LAS,MCO,235.2626931567329,260.9580573951435
LAS,MDW,181.51742344244985,200.1235480464625
LAS,MEM,169.41830065359477,195.96732026143792
LAS,MFE,148.31756756756758,173.1283783783784
LAS,MFR,90.10958904109589,113.58904109589041
LAS,MIA,247.59713701431494,274.6114519427403
LAS,MKE,179.0246575342466,198.6904109589041
LAS,MLI,160.65217391304347,184.54347826086956
LAS,MOT,135.97916666666666,159.77083333333334
LAS,MRY,60.61702127659574,83.1063829787234
LAS,MSN,172.8235294117647,199.47058823529412
LAS,MSO,108.44444444444444,135.59259259259258
LAS,MSP,157.62604651162792,179.3106976744186
LAS,MSY,173.88709677419354,194.11935483870968
